county,precinct,office,district,party,candidate,votes,winner
Dorchester,,President,,Libertarian,Harry Browne/Art Olivier,47,
Dorchester,,President,,Reform,Pat Buchanan/Ezola Foster,35,
Dorchester,,President,,Green,Ralph Nader/Winona LaDuke,222,
Dorchester,,President,,Constitution,Howard Phillips/J. Curtis Frazier,9,
Dorchester,,President,,Democratic,Mike K. Brown,0,
Dorchester,,President,,Republican,Isabell Masters,0,
Dorchester,,President,,Other Candidates,John Hagelin,0,
Dorchester,,President,,Unaffiliated,Alonzo Crawford,0,
Dorchester,,President,,Unaffiliated,Earnest Lee Easton,0,
Dorchester,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Dorchester,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Dorchester,,President,,Unaffiliated,Raj Alison Officewala,0,
Dorchester,,President,,Unaffiliated,Daniel J. Pearlman,0,
Dorchester,,President,,Unaffiliated,Jeffrey Peters,0,
Dorchester,,President,,Unaffiliated,Sylvester J. Pettway,0,
Dorchester,,President,,Unaffiliated,Joe Schriner,0,
Dorchester,,President,,Unaffiliated,Michael F. Sterba,0,
Dorchester,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Dorchester,,President,,,Other Write-ins,0,
Frederick,,President,,Democratic,Al Gore/Joe Lieberman,30725,TRUE
Frederick,,President,,Republican,George W. Bush/Dick Cheney,45350,
Frederick,,President,,Libertarian,Harry Browne/Art Olivier,224,
Frederick,,President,,Reform,Pat Buchanan/Ezola Foster,182,
Frederick,,President,,Green,Ralph Nader/Winona LaDuke,2052,
Frederick,,President,,Constitution,Howard Phillips/J. Curtis Frazier,47,
Frederick,,President,,Democratic,Mike K. Brown,0,
Frederick,,President,,Republican,Isabell Masters,0,
Frederick,,President,,Other Candidates,John Hagelin,8,
Frederick,,President,,Unaffiliated,Alonzo Crawford,0,
Frederick,,President,,Unaffiliated,Earnest Lee Easton,0,
Frederick,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Frederick,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Frederick,,President,,Unaffiliated,Raj Alison Officewala,1,
Frederick,,President,,Unaffiliated,Daniel J. Pearlman,0,
Frederick,,President,,Unaffiliated,Jeffrey Peters,0,
Frederick,,President,,Unaffiliated,Sylvester J. Pettway,0,
Frederick,,President,,Unaffiliated,Joe Schriner,0,
Frederick,,President,,Unaffiliated,Michael F. Sterba,0,
Frederick,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Frederick,,President,,,Other Write-ins,72,
Garrett,,President,,Democratic,Al Gore/Joe Lieberman,2872,TRUE
Garrett,,President,,Republican,George W. Bush/Dick Cheney,7514,
Garrett,,President,,Libertarian,Harry Browne/Art Olivier,27,
Garrett,,President,,Reform,Pat Buchanan/Ezola Foster,27,
Garrett,,President,,Green,Ralph Nader/Winona LaDuke,203,
Garrett,,President,,Constitution,Howard Phillips/J. Curtis Frazier,7,
Garrett,,President,,Democratic,Mike K. Brown,0,
Garrett,,President,,Republican,Isabell Masters,0,
Garrett,,President,,Other Candidates,John Hagelin,0,
Garrett,,President,,Unaffiliated,Alonzo Crawford,0,
Garrett,,President,,Unaffiliated,Earnest Lee Easton,0,
Garrett,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Garrett,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Garrett,,President,,Unaffiliated,Raj Alison Officewala,0,
Garrett,,President,,Unaffiliated,Daniel J. Pearlman,0,
Garrett,,President,,Unaffiliated,Jeffrey Peters,0,
Garrett,,President,,Unaffiliated,Sylvester J. Pettway,0,
Garrett,,President,,Unaffiliated,Joe Schriner,0,
Garrett,,President,,Unaffiliated,Michael F. Sterba,0,
Garrett,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Garrett,,President,,,Other Write-ins,5,
Harford,,President,,Democratic,Al Gore/Joe Lieberman,35665,TRUE
Harford,,President,,Republican,George W. Bush/Dick Cheney,52862,
Harford,,President,,Libertarian,Harry Browne/Art Olivier,254,
Harford,,President,,Reform,Pat Buchanan/Ezola Foster,214,
Harford,,President,,Green,Ralph Nader/Winona LaDuke,2298,
Harford,,President,,Constitution,Howard Phillips/J. Curtis Frazier,54,
Harford,,President,,Democratic,Mike K. Brown,0,
Harford,,President,,Republican,Isabell Masters,0,
Harford,,President,,Other Candidates,John Hagelin,9,
Harford,,President,,Unaffiliated,Alonzo Crawford,0,
Harford,,President,,Unaffiliated,Earnest Lee Easton,0,
Harford,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Harford,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Harford,,President,,Unaffiliated,Raj Alison Officewala,0,
Harford,,President,,Unaffiliated,Daniel J. Pearlman,0,
Harford,,President,,Unaffiliated,Jeffrey Peters,0,
Harford,,President,,Unaffiliated,Sylvester J. Pettway,0,
Harford,,President,,Unaffiliated,Joe Schriner,0,
Harford,,President,,Unaffiliated,Michael F. Sterba,0,
Harford,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Harford,,President,,,Other Write-ins,68,
Howard,,President,,Democratic,Al Gore/Joe Lieberman,58556,TRUE
Howard,,President,,Republican,George W. Bush/Dick Cheney,49809,
Howard,,President,,Libertarian,Harry Browne/Art Olivier,398,
Howard,,President,,Reform,Pat Buchanan/Ezola Foster,197,
Howard,,President,,Green,Ralph Nader/Winona LaDuke,3643,
Howard,,President,,Constitution,Howard Phillips/J. Curtis Frazier,37,
Howard,,President,,Democratic,Mike K. Brown,1,
Howard,,President,,Republican,Isabell Masters,0,
Howard,,President,,Other Candidates,John Hagelin,12,
Howard,,President,,Unaffiliated,Alonzo Crawford,0,
Howard,,President,,Unaffiliated,Earnest Lee Easton,0,
Howard,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Howard,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Howard,,President,,Unaffiliated,Raj Alison Officewala,0,
Howard,,President,,Unaffiliated,Daniel J. Pearlman,0,
Howard,,President,,Unaffiliated,Jeffrey Peters,0,
Howard,,President,,Unaffiliated,Sylvester J. Pettway,0,
Howard,,President,,Unaffiliated,Joe Schriner,0,
Howard,,President,,Unaffiliated,Michael F. Sterba,0,
Howard,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Howard,,President,,,Other Write-ins,126,
Kent,,President,,Democratic,Al Gore/Joe Lieberman,3627,TRUE
Kent,,President,,Republican,George W. Bush/Dick Cheney,4155,
Kent,,President,,Libertarian,Harry Browne/Art Olivier,12,
Kent,,President,,Reform,Pat Buchanan/Ezola Foster,16,
Kent,,President,,Green,Ralph Nader/Winona LaDuke,270,
Kent,,President,,Constitution,Howard Phillips/J. Curtis Frazier,2,
Kent,,President,,Democratic,Mike K. Brown,0,
Kent,,President,,Republican,Isabell Masters,0,
Kent,,President,,Other Candidates,John Hagelin,0,
Kent,,President,,Unaffiliated,Alonzo Crawford,0,
Kent,,President,,Unaffiliated,Earnest Lee Easton,0,
Kent,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Kent,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Kent,,President,,Unaffiliated,Raj Alison Officewala,0,
Kent,,President,,Unaffiliated,Daniel J. Pearlman,0,
Kent,,President,,Unaffiliated,Jeffrey Peters,0,
Kent,,President,,Unaffiliated,Sylvester J. Pettway,0,
Kent,,President,,Unaffiliated,Joe Schriner,0,
Kent,,President,,Unaffiliated,Michael F. Sterba,0,
Kent,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Kent,,President,,,Other Write-ins,3,
Montgomery,,President,,Democratic,Al Gore/Joe Lieberman,232453,TRUE
Montgomery,,President,,Republican,George W. Bush/Dick Cheney,124580,
Montgomery,,President,,Libertarian,Harry Browne/Art Olivier,995,
Montgomery,,President,,Reform,Pat Buchanan/Ezola Foster,593,
Montgomery,,President,,Green,Ralph Nader/Winona LaDuke,12485,
Montgomery,,President,,Constitution,Howard Phillips/J. Curtis Frazier,115,
Montgomery,,President,,Democratic,Mike K. Brown,0,
Montgomery,,President,,Republican,Isabell Masters,0,
Montgomery,,President,,Other Candidates,John Hagelin,76,
Montgomery,,President,,Unaffiliated,Alonzo Crawford,1,
Montgomery,,President,,Unaffiliated,Earnest Lee Easton,1,
Montgomery,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,1,
Montgomery,,President,,Unaffiliated,Rachelle OneFamily Miller,2,
Montgomery,,President,,Unaffiliated,Raj Alison Officewala,2,
Montgomery,,President,,Unaffiliated,Daniel J. Pearlman,1,
Montgomery,,President,,Unaffiliated,Jeffrey Peters,1,
Montgomery,,President,,Unaffiliated,Sylvester J. Pettway,0,
Montgomery,,President,,Unaffiliated,Joe Schriner,1,
Montgomery,,President,,Unaffiliated,Michael F. Sterba,0,
Montgomery,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Montgomery,,President,,,Other Write-ins,381,
Prince George's,,President,,Democratic,Al Gore/Joe Lieberman,216119,TRUE
Prince George's,,President,,Republican,George W. Bush/Dick Cheney,49987,
Prince George's,,President,,Libertarian,Harry Browne/Art Olivier,564,
Prince George's,,President,,Reform,Pat Buchanan/Ezola Foster,519,
Prince George's,,President,,Green,Ralph Nader/Winona LaDuke,4497,
Prince George's,,President,,Constitution,Howard Phillips/J. Curtis Frazier,145,
Prince George's,,President,,Democratic,Mike K. Brown,0,
Prince George's,,President,,Republican,Isabell Masters,0,
Prince George's,,President,,Other Candidates,John Hagelin,7,
Prince George's,,President,,Unaffiliated,Alonzo Crawford,0,
Prince George's,,President,,Unaffiliated,Earnest Lee Easton,0,
Prince George's,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Prince George's,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Prince George's,,President,,Unaffiliated,Raj Alison Officewala,0,
Prince George's,,President,,Unaffiliated,Daniel J. Pearlman,0,
Prince George's,,President,,Unaffiliated,Jeffrey Peters,1,
Prince George's,,President,,Unaffiliated,Sylvester J. Pettway,0,
Prince George's,,President,,Unaffiliated,Joe Schriner,2,
Prince George's,,President,,Unaffiliated,Michael F. Sterba,0,
Prince George's,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Prince George's,,President,,,Other Write-ins,68,
Queen Anne's,,President,,Democratic,Al Gore/Joe Lieberman,6257,TRUE
Queen Anne's,,President,,Republican,George W. Bush/Dick Cheney,9970,
Queen Anne's,,President,,Libertarian,Harry Browne/Art Olivier,36,
Queen Anne's,,President,,Reform,Pat Buchanan/Ezola Foster,35,
Queen Anne's,,President,,Green,Ralph Nader/Winona LaDuke,446,
Queen Anne's,,President,,Constitution,Howard Phillips/J. Curtis Frazier,6,
Queen Anne's,,President,,Democratic,Mike K. Brown,0,
Queen Anne's,,President,,Republican,Isabell Masters,0,
Queen Anne's,,President,,Other Candidates,John Hagelin,1,
Queen Anne's,,President,,Unaffiliated,Alonzo Crawford,0,
Queen Anne's,,President,,Unaffiliated,Earnest Lee Easton,0,
Queen Anne's,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Queen Anne's,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Queen Anne's,,President,,Unaffiliated,Raj Alison Officewala,0,
Queen Anne's,,President,,Unaffiliated,Daniel J. Pearlman,0,
Queen Anne's,,President,,Unaffiliated,Jeffrey Peters,0,
Queen Anne's,,President,,Unaffiliated,Sylvester J. Pettway,0,
Queen Anne's,,President,,Unaffiliated,Joe Schriner,0,
Queen Anne's,,President,,Unaffiliated,Michael F. Sterba,0,
Queen Anne's,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Queen Anne's,,President,,,Other Write-ins,10,
Somerset,,President,,Democratic,Al Gore/Joe Lieberman,3785,TRUE
Somerset,,President,,Republican,George W. Bush/Dick Cheney,3609,
Somerset,,President,,Libertarian,Harry Browne/Art Olivier,12,
Somerset,,President,,Reform,Pat Buchanan/Ezola Foster,49,
Somerset,,President,,Green,Ralph Nader/Winona LaDuke,142,
Somerset,,President,,Constitution,Howard Phillips/J. Curtis Frazier,6,
Somerset,,President,,Democratic,Mike K. Brown,0,
Somerset,,President,,Republican,Isabell Masters,0,
Somerset,,President,,Other Candidates,John Hagelin,0,
Somerset,,President,,Unaffiliated,Alonzo Crawford,0,
Somerset,,President,,Unaffiliated,Earnest Lee Easton,0,
Somerset,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Somerset,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Somerset,,President,,Unaffiliated,Raj Alison Officewala,0,
Somerset,,President,,Unaffiliated,Daniel J. Pearlman,0,
Somerset,,President,,Unaffiliated,Jeffrey Peters,0,
Somerset,,President,,Unaffiliated,Sylvester J. Pettway,0,
Somerset,,President,,Unaffiliated,Joe Schriner,0,
Somerset,,President,,Unaffiliated,Michael F. Sterba,0,
Somerset,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Somerset,,President,,,Other Write-ins,1,
St. Mary's,,President,,Democratic,Al Gore/Joe Lieberman,11912,TRUE
St. Mary's,,President,,Republican,George W. Bush/Dick Cheney,16856,
St. Mary's,,President,,Libertarian,Harry Browne/Art Olivier,68,
St. Mary's,,President,,Reform,Pat Buchanan/Ezola Foster,66,
St. Mary's,,President,,Green,Ralph Nader/Winona LaDuke,568,
St. Mary's,,President,,Constitution,Howard Phillips/J. Curtis Frazier,19,
St. Mary's,,President,,Democratic,Mike K. Brown,0,
St. Mary's,,President,,Republican,Isabell Masters,0,
St. Mary's,,President,,Other Candidates,John Hagelin,0,
St. Mary's,,President,,Unaffiliated,Alonzo Crawford,0,
St. Mary's,,President,,Unaffiliated,Earnest Lee Easton,0,
St. Mary's,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
St. Mary's,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
St. Mary's,,President,,Unaffiliated,Raj Alison Officewala,0,
St. Mary's,,President,,Unaffiliated,Daniel J. Pearlman,0,
St. Mary's,,President,,Unaffiliated,Jeffrey Peters,0,
St. Mary's,,President,,Unaffiliated,Sylvester J. Pettway,0,
St. Mary's,,President,,Unaffiliated,Joe Schriner,0,
St. Mary's,,President,,Unaffiliated,Michael F. Sterba,0,
St. Mary's,,President,,Unaffiliated,Gloria Dawn Strickland,0,
St. Mary's,,President,,,Other Write-ins,12,
Talbot,,President,,Democratic,Al Gore/Joe Lieberman,5854,TRUE
Talbot,,President,,Republican,George W. Bush/Dick Cheney,8874,
Talbot,,President,,Libertarian,Harry Browne/Art Olivier,34,
Talbot,,President,,Reform,Pat Buchanan/Ezola Foster,31,
Talbot,,President,,Green,Ralph Nader/Winona LaDuke,424,
Talbot,,President,,Constitution,Howard Phillips/J. Curtis Frazier,5,
Talbot,,President,,Democratic,Mike K. Brown,0,
Talbot,,President,,Republican,Isabell Masters,0,
Talbot,,President,,Other Candidates,John Hagelin,0,
Talbot,,President,,Unaffiliated,Alonzo Crawford,0,
Talbot,,President,,Unaffiliated,Earnest Lee Easton,0,
Talbot,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Talbot,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Talbot,,President,,Unaffiliated,Raj Alison Officewala,0,
Talbot,,President,,Unaffiliated,Daniel J. Pearlman,0,
Talbot,,President,,Unaffiliated,Jeffrey Peters,0,
Talbot,,President,,Unaffiliated,Sylvester J. Pettway,0,
Talbot,,President,,Unaffiliated,Joe Schriner,0,
Talbot,,President,,Unaffiliated,Michael F. Sterba,0,
Talbot,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Talbot,,President,,,Other Write-ins,12,
Washington,,President,,Democratic,Al Gore/Joe Lieberman,18221,TRUE
Washington,,President,,Republican,George W. Bush/Dick Cheney,27948,
Washington,,President,,Libertarian,Harry Browne/Art Olivier,105,
